DrugID	TargetID
+/-METHYL 4-(AMINOIMINOMETHYL)-BETA-[3- INH (AMINOIMINO)PHENYL]BENZENE PENTANOATE	5644
A Disubstituted Succinyl Caprolactam Hydroxymate Mmp3inhibitor	4314
A-620223	142
A-674563	5569
A-674563	5566
A-674563	207
AC-(D)PHE-PRO-BOROHOMOLYS-OH	2147
AC-(D)PHE-PRO-BOROHOMOORNITHINE-OH	2147
AC-(D)Phe-pro-borolys-OH	2147
ADL 10-0101	4986
ADL5859	4985
ADX10059	2915
AEG35156	331
AER001	3566
AER001	3598
AGRO100	8517
AICA ribonucleotide	471
AL5300	760
AL5424	760
AL5927	760
AL6528	760
AL7089A	760
AL7099A	760
AL7182	760
ALKS 27	1132
ALKS 27	1129
ALKS 27	1131
ALKS 27	1128
ALKS 27	1133
ALPHA-(2,6-DICHLOROPHENYL)-ALPHA-(2-ACETYL-5-METHYLANILINO)ACETAMIDE	155348
ALPHA-HYDROXYFARNESYLPHOSPHONIC ACID	2342
ALPHA-HYDROXYFARNESYLPHOSPHONIC ACID	2339
AM103	241
AMPCPR	93778959
AN2898	5144
AN2898	5141
AN2898	5142
ANA971	51284
ANA975	51284
AP1081	2099
APD668	139760
APD791	3356
ASI402	4582
AT1391	3643
AT2220	2548
AT9283	9212
AT9283	6790
ATG003	57053
ATG003	55584
ATL1101	3480
ATL1102	3676
ATP	1457
ATP	90
ATP	6833
ATP	10188
ATP	8883
ATP	269
ATP	1460
ATP	5562
ATP	5536
ATP	317
ATP	9619
ATP	27
ATP	107
ATP	10060
ATP	84532
ATP	10257
ATP	1244
ATP	439
ATP	22978
ATP	5032
ATP	94
ATP	65061
ATP	8647
ATP	157
ATP	4363
ATP	2180
ATP	207
ATP	156
ATP	19
ATP	1080
ATP	91
ATP	291
ATP	440
ATP	5243
ATP	25
ATP	445
ATP	10939
ATP	368
ATP	5290
ATP	238
ATP	55902
ATP	369
AUROVERTIN B	498
AUROVERTIN B	506
AUROVERTIN B	509
AV608	6869
AVE9633	945
AZACYCLONOL	3269
AZD 3355	7157
AZD3409	2342
AZD3409	2339
AZD8529	2911
AZD8630	85480
Abafungin	3641571
Abaloparatide	5745
Abarelix	2798
Abatacept	1493
Abatacept	942
Abatacept	941
Abciximab	2213
Abciximab	3690
Abciximab	2212
Abciximab	7448
Abciximab	3674
Abediterol	154
Abemaciclib	1021
Abemaciclib	1019
Abequose	1262799
Abexinostat	3066
Abexinostat	9734
Abexinostat	55869
Abexinostat	10013
Abexinostat	83933
Abexinostat	3065
Abexinostat	10014
Abexinostat	9759
Abexinostat	79885
Abexinostat	51564
Abexinostat	8841
Abiraterone	1586
Abivertinib	1956
Abivertinib	695
Abrocitinib	3716
Abrocitinib	3717
Abrocitinib	7297
Abrocitinib	3718
Acadesine	5571
Acadesine	5564
Acadesine	5562
Acalabrutinib	695
Acalisib	5293
Acamprosate	2550
Acamprosate	2905
Acamprosate	116444
Acamprosate	2902
Acamprosate	116443
Acamprosate	2906
Acamprosate	2903
Acamprosate	2904
Acamprosate	2915
Acarbose	6476
Acarbose	2548
Acarbose	8972
Acarbose	279
Acarbose Derived Hexasaccharide	279
Acebilustat	4048
Acebutolol	153
Acebutolol	154
Acecainide	6331
Aceclidine	1132
Aceclidine	1133
Aceclidine	1128
Aceclidine	1131
Aceclidine	1129
Aceclofenac	5743
Aceclofenac	5742
Acemetacin	5743
Acemetacin	5742
Acenocoumarol	79001
Acepromazine	3350
Acepromazine	3356
Acepromazine	1813
Acepromazine	1812
Acepromazine	148
Acepromazine	147
Aceprometazine	3269
Acetamide	877798
Acetaminophen	10728
Acetaminophen	7442
Acetaminophen	6532
Acetaminophen	5743
Acetaminophen	6530
Acetaminophen	5742
Acetate	808
Acetate	4048
Acetate	5319
Acetate	7295
Acetate	1636
Acetate	948241
Acetate	5770
Acetate	4842
Acetate	4846
Acetate	6647
Acetate	3242
Acetate	4321
Acetate	8644
Acetate	18
Acetate	2100
Acetate	1990
Acetate	760
Acetazolamide	771
Acetazolamide	23632
Acetazolamide	759
Acetazolamide	760
Acetazolamide	762
Acetazolamide	358
Acetazolamide	761
Acetazolamide	766
Acetic Acid Salicyloyl-Amino-Ester	5742
Acetoacetic acid	2184
Acetoacetyl-CoA	1892
Acetoacetyl-CoA	887529
Acetoacetyl-CoA	3033
Acetoacetyl-CoA	97492323
Acetoacetyl-CoA	35
Acetohexamide	6833
Acetohexamide	3758
Acetohydroxamic acid	4321
Acetophenazine	367
Acetophenazine	1813
Acetyl sulfisoxazole	947691
Acetylamino-Acetic Acid	939377
Acetylcholine	1128
Acetylcholine	1132
Acetylcholine	1129
Acetylcholine	89832
Acetylcholine	1131
Acetylcysteine	1147
Acetylcysteine	2937
Acetylcysteine	3551
Acetylcysteine	23657
Acetylcysteine	2906
Acetylcysteine	2902
Acetylcysteine	116443
Acetylcysteine	2903
Acetylcysteine	2904
Acetylcysteine	95
Acetylphosphate	946563
Acetylphosphate	936581
Acetylsalicylic acid	5596
Acetylsalicylic acid	5564
Acetylsalicylic acid	5743
Acetylsalicylic acid	5597
Acetylsalicylic acid	51422
Acetylsalicylic acid	53632
Acetylsalicylic acid	836
Acetylsalicylic acid	4758
Acetylsalicylic acid	225689
Acetylsalicylic acid	5595
Acetylsalicylic acid	595
Acetylsalicylic acid	834
Acetylsalicylic acid	5594
Acetylsalicylic acid	6197
Acetylsalicylic acid	1909
Acetylsalicylic acid	7130
Acetylsalicylic acid	5598
Acetylsalicylic acid	5742
Acetylsalicylic acid	5111
Acetylsalicylic acid	3309
Acetylsalicylic acid	4792
Acetylsalicylic acid	5563
